	image	clusterid	Morph	BinaryType	KmeansX	KmeansY
31	KIC04824268_morp0.03.png	0	0.03	Detached	74.17944673242889	-52.59811191641967
32	KIC03970233_morp0.25.png	0	0.25	Detached	93.36079241800661	10.596803251310181
33	KIC04857282_morp0.75.png	3	0.75	OverContact	-93.8468948440675	-23.765207860596092
34	KIC06370558_morp-1.0.png	3	-1.0	Detached	-13.414192237286304	-30.262316142393807
35	KIC06863840_morp0.31.png	2	0.31	Detached	33.31084310605708	-22.571546907825645
36	KIC09179531_morp0.28.png	0	0.28	Detached	33.157932734116606	-41.59206053136539
37	KIC07377422_morp0.16.png	0	0.16	Detached	82.17603993573748	8.56282472171805
38	KIC06805146_morp0.16.png	0	0.16	Detached	90.20259774868593	-19.94397463338883
39	KIC05473556_morp0.21.png	0	0.21	Detached	53.80881839579461	-45.69213345289463
40	KIC10068383_morp0.19.png	0	0.19	Detached	75.57025713477036	4.325283466317328
41	KIC09760531_morp1.0.png	3	1.0	Ellipsoidal	-71.30977732536643	-39.6672324346843
42	KIC05302006_morp0.97.png	3	0.97	Ellipsoidal	-64.66449267262007	-28.123169786259897
43	KIC08190613_morp0.91.png	3	0.91	Ellipsoidal	-75.49997453096057	-38.208726193255664
44	KIC09953894_morp0.74.png	3	0.74	OverContact	-74.70759938761974	-16.684829761308507
45	KIC10965963_morp0.22.png	0	0.22	Detached	67.1192417328836	-24.244797826351267
46	KIC11495766_morp0.1.png	2	0.1	Detached	1.44714735921778	-27.53737994804752
47	KIC04761060_morp-1.0.png	2	-1.0	Detached	-14.914266189993548	-10.278154494430828
48	KIC09551200_morp0.56.png	1	0.56	SemiDetached	-47.21791704753092	74.5218474007753
49	KIC06362386_morp0.32.png	2	0.32	Detached	70.11346598608795	46.78232505213903
50	KIC07831363_morp0.25.png	0	0.25	Detached	88.7512949549353	20.85601239510046
51	KIC07765894_morp0.88.png	3	0.88	Ellipsoidal	-70.28281521800209	-14.633130922297346
52	KIC03834322_morp0.43.png	2	0.43	SemiDetached	38.65865890415148	17.870243030587204
