ID,morph,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w,label
TIC 0198313291,0.784,1711.508635,0.3067214,383.55531666879614,-1251.8945018153572,2547.8753891945594,-259.94613942580105,851.0926740528525,-318.9309235181382,419.7201149511571,14.364714477438522,1331.5895513962068,1777.016301072819,-5493.416946731444,0.08778334968499364,OverContact
TIC 0118313102,0.18,1518.556197,9.255727,-680.5974295102665,1488.019206001401,145.27898504166964,-1301.3868998768733,541.923327447806,387.1302432476414,-1861.0525332782759,3683.868656127087,-4131.700705588728,2682.8894419162425,-953.3644646835925,0.458492605844093,Detached
TIC 0153987857,0.466,1739.717927,1.0141966,4.621447035076577,-12.816848939208292,-0.5360095176851697,19.59764927433517,-11.5357327035489,-11.379707019294473,32.24662857695305,-36.66539290997324,26.21517264074714,-12.443179019317725,3.693610738458159,0.8791765941454381,SemiDetached
TIC 0315002523,0.496,1518.620303,3.3023722,2.269648893738472,-4.4110376572860766,-0.24794300743142608,6.441974281116518,-2.8779269574662956,-6.121985637557696,14.12622212603952,-15.624717148732488,11.20178951398697,-5.404905373547079,1.6469745987720354,0.8821076421536668,SemiDetached
TIC 0242843658,0.22,1764.802732,4.9812382,-31.695730296955514,-161.1011832375037,-2.770010294281837,84.74235617924107,351.66558742531436,-76.83066056537572,-363.54034122885037,45.33218306547884,366.57068770027684,-281.14744645621283,69.77657510492607,0.3227905902327686,Detached
TIC 0220082557,0.525,1469.967693,2.2570772,6.510596295815961,-17.61792639247231,-0.8443955080731342,25.11276781560007,-13.59319850523937,-16.892870721548253,44.74888917639134,-51.00383555403005,37.08663034500182,-18.07241234606746,5.5566830303597765,0.8936580000025705,SemiDetached
TIC 0424008045,0.638,1765.446958,1.1836626,-8.773355349385005,589.7475009122884,155.94286973845112,-261.1594117708612,-1231.4717630558173,432.6593939175427,1661.3215340187148,-1058.7425015197641,-1226.0422483790378,1827.5603495420553,-880.0453245162902,0.4163342979900381,SemiDetached
TIC 0375160191,0.526,1683.992117,0.790414,-41.79807019061279,-35.50146618892833,-142.92600861617606,-67.36395602964826,91.31371742135175,148.66524633847945,23.60892585264895,31.509633573834247,-237.82807754263476,-151.502055357071,382.7993190959376,0.2306314350373555,SemiDetached
TIC 0270616815,0.546,1686.135154,3.0447351,364.0727854921102,-115.9843909468283,-202.23163593814593,-789.4694205306915,682.9565352903113,448.3257808515756,-1448.4115841202217,999.7096508757313,585.733008510862,-1417.203465085538,893.4248354357394,0.30625779061788666,SemiDetached
TIC 0411712609,0.969,1598.242488,0.2902786,342.6643754856888,-1067.8392879110224,-300.5497929141317,-343.59590572612933,2654.7025460810473,-312.47073450174673,-3495.6281592213027,1710.5940053029585,2798.2726705974965,-3711.161878482451,1725.994328894216,0.41576736731456776,Ellipsoidal
TIC 0453097744,0.782,1598.209823,1.0572138,-326.4103996664471,227.18428482543985,1808.0426785872987,291.7304496191502,-1375.8620781189748,-142.6574574830241,2237.10245018206,-508.635728988805,-576.5364800237079,2622.6637572089667,-4255.605538576958,0.08366619392448023,OverContact
TIC 0168851294,0.634,1411.342039,0.6431832,-1722.1626497147163,1523.7444059415507,435.91129026003637,3500.465188818646,-5175.292198063696,-1839.0115549381885,8280.309153265242,-4226.534777025111,-3629.0239618312567,5364.975351665996,-2512.4189677062136,0.42922011521971515,SemiDetached
TIC 0281341249,0.467,1493.758922,4.3811449,2.293496120750586,-2.9282993920707936,28.769919449282032,3.1169586530157325,-14.640808633157011,18.10906637276654,3.962745599279402,-41.17933362923434,42.23343220418115,34.812611136166254,-73.54903385453052,0.08500663787413468,SemiDetached
TIC 0121420805,0.53,1326.219544,1.7168857,-1395.2470702604203,423.28514354696836,336.3725152711797,3726.5973014163947,-3081.549501972894,-3294.604868992724,6581.073655268019,-1771.297861446986,-4166.715511987678,4659.0394249547,-2016.0228028231063,0.4426954742640011,SemiDetached
TIC 0049534600,0.166,1662.053057,7.9490097,223.86426050004474,-412.3356776212692,-39.983675483945106,572.8508782948967,-731.6685056545657,-95.91664696880625,1821.561811735212,-2871.3214502050323,2374.5955780504555,-1164.979674881743,324.33179549787076,0.5561390456021499,Detached
TIC 0159803421,0.435,1628.703896,0.5522213,1.3157535706364683,-1.4718073196424197,-0.08025655350191474,2.5344114525408212,-1.4529752703774277,-1.807778232004959,4.801680925439004,-5.42049102343617,3.8756496310468727,-1.8441841912514958,0.5497130482885625,0.8816858255908027,SemiDetached
TIC 0336767770,0.53,1764.900771,0.9398177,-17.405246570212974,-11.339186835998555,-12.267537134898994,13.79139299120394,17.648419805474912,14.448183191375879,17.295131147612135,-30.0295662211813,-41.41326489876204,35.76019384171374,14.493266387164056,0.28412295899359685,SemiDetached
TIC 0075352949,0.749,1386.148875,0.4720387,3.58586498400646,-2.9278676502678804,-0.23396434358469653,-2.5875286568625655,8.485680223389663,-12.026753028140124,12.09869891474407,-9.496312690537616,5.903119677538858,-2.874591047046252,1.035861620557165,1.1042595789136456,OverContact
TIC 0273501820,0.576,1684.318321,1.6554549,220.69094763671143,944.4993821946658,-6.81800937786615,-1830.098404791659,-578.9738124427987,2572.7421231383832,-1052.3369142206966,-1356.662020819148,1738.5272257234212,-809.47960873145,158.8883659805661,0.4797534560249826,SemiDetached
TIC 0031690845,0.708,1656.597925,0.5995535,3.454488766816875,-12.094429600094937,-0.4357801893112048,21.29666044711171,-12.878899536707445,-12.74753703932325,35.28569788394278,-38.81743498037053,26.55627732371046,-11.931384711127919,3.294156049285516,0.8111595127321334,OverContact
TIC 0307907420,0.33,1875.063613,3.2985999,27.733131316778394,-91.51236486254204,-2.6326066764226788,131.3173529905976,-58.92664533738305,-111.92564633059561,249.4150531560682,-259.56494513461865,172.0524470830529,-75.30115347094677,20.34282875335934,0.809258624232758,Detached
TIC 0271040947,0.068,1696.20774,19.2308468,-61.17876936167769,21.95780375459742,12.141535311207358,108.80564237587677,-26.240634238193778,-152.5159144159659,110.21727052316982,143.33204075094642,-293.35684767998026,217.6780569768085,-79.83936240131881,0.4615579636673397,Detached
TIC 0102978235,0.471,1546.495335,3.6841111,4.509797857559884,-10.726805153619111,-0.6173321198550515,14.786050353485194,-7.656172465755836,-10.792498816104631,27.9488319050126,-32.23678996698271,23.964074844537585,-12.036122033588649,3.851621810598515,0.9222116114592248,SemiDetached
TIC 0065448527,0.74,1411.002875,0.6678304,-63.77505596711877,1180.297281484522,124.82408008206325,-1637.286060038924,-170.9736151170599,1023.4279721769461,-141.30491139062178,274.33984390089734,-1429.9717086812639,1551.7009527667021,-710.2860928386405,0.422273077139496,OverContact
TIC 0445074203,0.192,1930.973923,4.3690689,1.0517650523784656,1.4420273314612069,0.40709006259869707,-0.567555457939829,-1.9576036414419027,-0.8526020405352119,1.7246115298987992,1.931264573918544,-1.7334589652644643,-0.0027751774576114194,-0.4430892157432063,0.1905494544946924,Detached
