in_catalog,tic__tess_id,date_added,date_modified,sectors,tic__ra,tic__dec,tic__Tmag,tic__glat,tic__glon,tic__pmra,tic__pmdec,bjd0,bjd0_uncert,period,period_uncert,morph_coeff,tic__teff,tic__logg,tic__abun,source,flags
True, 0006400274, 2020-07-28 16:43:42, , 13, 283.520634, -51.515991, 9.17, 344.836937, -21.304637, 15.3462, 0.0802378, 1656.304618, 0.000024, 1.2112320, 0.0000034, 0.512, 6078, 4.04, , LCF, ,
True, 0006518047, 2020-07-28 17:16:31, , 7, 112.880153, -6.734544, 12.70, 223.540153, 5.757572, -89.8499, 7.49004, 1492.548449, 0.002049, 1.8513319, 0.0002997, 0.489, 3560, 4.77, , LCF, ,
True, 0006667908, 2020-07-28 16:43:21, , 13, 284.404424, -52.850124, 10.00, 343.627784, -22.205921, 4.59393, -61.2073, 1660.802817, 0.010785, 14.4434464, 0.0091763, 0.298, 6176, 4.28, , LCF, A,
True, 0007211118, 2020-07-28 17:16:39, , 7, 113.777706, -9.095696, 8.87, 226.051651, 5.414908, -33.0855, 4.64869, 1492.559937, 0.000036, 1.4462609, 0.0000158, 0.534, 6472, 4.09, , LCF, ,
True, 0007418947, 2020-07-28 18:41:23, , 4;5;6, 81.061515, -46.216880, 10.22, 252.207090, -33.909009, -8.58007, 5.52501, 1411.183765, 0.002243, 1.0078080, 0.0002421, 0.732, 5903, 4.55, , LCF, ,
True, 0007695666, 2020-07-28 17:15:55, , 4;5, 65.646765, -41.483370, 10.13, 245.626298, -44.851261, -0.733648, 38.3251, 1429.243404, 0.000040, 17.5537009, 0.0009331, 0.093, 6303, 3.85, , LCF, ,
True, 0007724421, 2020-07-28 18:40:27, , 4;5;31;32, 66.411360, -38.059481, 9.54, 240.833102, -44.220130, 30.1176, 25.5175, 1411.237833, 0.001740, 0.6405998, 0.0000009, 0.822, 6631, 3.79, , LCF, ,
True, 0007849727, 2020-07-28 16:43:59, , 14;26, 275.409675, 42.168803, 10.00, 69.924347, 23.056340, -4.45279, -25.9374, 1684.163234, 0.000015, 0.9933050, 0.0000000, 0.635, 6600, 3.84, 0.01, LCF, ,
True, 0007851729, 2021-02-23 2:58:45, , 26, 275.258175, 44.645188, 10.98, 72.487753, 23.840104, None, None, 2009.803495, 0.000138, 1.2526446, 0.0000369, 0.614, 6211, 3.61, , LCF, ,
True, 0007854182, 2021-02-23 2:58:21, , 25;26, 275.548647, 47.568878, 9.06, 75.641351, 24.391461, None, None, 1983.743828, 0.000019, 0.8660210, 0.0000010, 0.615, 7424, 4.15, , LCF, ,
True, 0008200343, 2020-07-28 16:49:15, , 21, 156.964456, 39.901245, 11.91, 180.343472, 57.735565, -8.99768, -51.4279, 1873.158979, 0.000268, 12.9845622, 0.0010258, 0.086, 5225, 4.34, 0.33, LCF, ,
True, 0008245065, 2020-07-28 16:49:04, , 21, 157.361560, 39.768995, 8.23, 180.464807, 58.061627, -18.1956, 0.780126, 1870.756682, 0.000303, 0.3280228, 0.0000106, 0.748, 6154, 3.36, -0.38, LCF, ,
True, 0008592033, 2020-07-28 17:19:34, , 24;25, 248.022998, 30.386017, 9.99, 50.596462, 42.005837, 5.54023, -23.3357, 1957.720621, 0.000222, 4.3435903, 0.0000092, 0.629, 4682, , , LCF, ,
True, 0008624617, 2020-07-28 17:19:48, , 24;25, 248.281874, 33.523759, 11.35, 54.821884, 42.291430, -12.9904, -3.71862, 1956.305561, 0.004533, 4.9057067, 0.0004473, 0.602, 6090, 3.45, 0.18, LCF, ,
True, 0008669966, 2021-02-23 2:58:10, , 25, 248.371350, 30.499067, 6.65, 50.819707, 41.731356, None, None, 1983.738483, 0.000127, 3.3944543, 0.0000254, 0.900, 7651, 3.54, , LCF, ,
True, 0008673277, 2021-02-23 2:57:32, , 24;25, 248.758155, 33.213270, 7.44, 54.483345, 41.853855, None, None, 1956.079063, 0.000040, 0.4211697, 0.0000007, 0.804, 6505, 3.53, , LCF, ,
