,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err,rscl_flux,rscl_err
9323,55940.88778053,0.31897722,0.988463,0.00208,1.381456,0.004048,1.021522,0.002149,1.021522,0.002149,
9324,55940.90821389,0.35113326,0.982014,0.00208,1.369014,0.004048,1.014832,0.002149,1.014832,0.002149,
9325,55940.92864705,0.38328898,0.965923,0.00208,1.337564,0.004048,0.99818,0.002149,0.99818,0.002149,
9326,55940.94908031,0.41544486,0.960898,0.002079,1.32784,0.004048,0.992962,0.002149,0.992962,0.002149,
9327,55940.96951367,0.44760089,0.943345,0.002079,1.293429,0.004048,0.9748,0.002149,0.9748,0.002149,
9328,55940.98994693,0.47975677,0.854101,0.002079,1.119679,0.004048,0.882558,0.002149,0.882558,0.002149,
9329,55941.01038009,-0.48808751,0.823101,0.002079,1.059189,0.004048,0.850505,0.002149,0.850505,0.002149,
9330,55941.03081345,-0.45593147,0.901822,0.002079,1.212442,0.004048,0.931824,0.002148,0.931824,0.002148,
9331,55941.05124671,-0.42377559,0.936789,0.002079,1.280512,0.004048,0.967931,0.002148,0.967931,0.002148,
9332,55941.07167997,-0.39161971,0.940943,0.002079,1.288553,0.004048,0.972199,0.002148,0.972199,0.002148,
9333,55941.09211323,-0.35946383,0.940574,0.002079,1.287808,0.004048,0.971794,0.002148,0.971794,0.002148,
9334,55941.1125465,-0.32730794,0.94435,0.002079,1.29523,0.004047,0.975672,0.002148,0.975672,0.002148,
9335,55941.13297976,-0.29515206,0.948942,0.002079,1.304144,0.004048,0.980392,0.002148,0.980392,0.002148,
9336,55941.15341302,-0.26299618,0.953538,0.002079,1.313011,0.004047,0.985116,0.002148,0.985116,0.002148,
9337,55941.17384628,-0.2308403,0.959427,0.002079,1.32429,0.004047,0.991176,0.002148,0.991176,0.002148,
9338,55941.19427955,-0.19868441,0.96873,0.002079,1.342457,0.004047,1.000762,0.002148,1.000762,0.002148,
9339,55941.21471281,-0.16652853,0.972359,0.002079,1.349463,0.004047,1.004487,0.002148,1.004487,0.002148,
9340,55941.23514617,-0.13437249,0.975274,0.002079,1.355219,0.004047,1.007473,0.002147,1.007473,0.002147,
9341,55941.25557934,-0.10221676,0.983636,0.002079,1.371368,0.004046,1.016087,0.002147,1.016087,0.002147,
9342,55941.2760126,-0.07006088,0.980895,0.002078,1.36599,0.004046,1.01323,0.002147,1.01323,0.002147,
9343,55941.29644597,-0.03790483,0.928941,0.002078,1.264669,0.004045,0.959539,0.002146,0.959539,0.002146,
9344,55941.31687913,-0.00574911,0.83632,0.002078,1.084126,0.004045,0.863846,0.002146,0.863846,0.002146,
9345,55941.3373124,0.02640679,0.877587,0.002077,1.164531,0.004043,0.90645,0.002146,0.90645,0.002146,
9346,55941.35774577,0.05856284,0.973276,0.002077,1.350961,0.004043,1.005261,0.002145,1.005261,0.002145,
9347,55941.37817893,0.09071856,0.986944,0.002077,1.377374,0.004043,1.019353,0.002145,1.019353,0.002145,
9348,55941.3986122,0.12287446,0.990548,0.002076,1.384447,0.004042,1.02305,0.002145,1.02305,0.002145,
9349,55941.41904557,0.15503051,0.989165,0.002076,1.381589,0.004042,1.021596,0.002144,1.021596,0.002144,
9350,55941.43947873,0.18718623,0.993968,0.002076,1.391046,0.004041,1.026531,0.002144,1.026531,0.002144,
9351,55941.4599121,0.21934228,0.999734,0.002075,1.402229,0.00404,1.032461,0.002143,1.032461,0.002143,
9352,55941.48034537,0.25149818,0.995885,0.002075,1.394602,0.00404,1.02846,0.002143,1.02846,0.002143,
9353,55941.50077854,0.28365391,0.988669,0.002075,1.38054,0.004039,1.020983,0.002143,1.020983,0.002143,
9354,55941.52121191,0.31580996,0.986121,0.002075,1.375587,0.004039,1.018326,0.002142,1.018326,0.002142,
9355,55941.54164518,0.34796586,0.975524,0.002074,1.354927,0.004038,1.007358,0.002142,1.007358,0.002142,
9356,55941.56207845,0.38012175,0.971092,0.002074,1.346147,0.004037,1.002756,0.002142,1.002756,0.002142,
9357,55941.58251172,0.41227765,0.959224,0.002074,1.322937,0.004037,0.990476,0.002141,0.990476,0.002141,
9358,55941.60294499,0.44443354,0.947676,0.002073,1.300478,0.004037,0.978529,0.002141,0.978529,0.002141,
